groundtruth-rot0-1:
DarkBlue10,"[(263, 67), (574, 67), (574, 178), (263, 178)]"
Yellow10,"[(262, 197), (571, 197), (571, 305), (262, 305)]"
DarkGray10,"[(263, 327), (571, 327), (571, 432), (263, 432)]"
LightGreen10,"[(261, 452), (572, 452), (572, 559), (261, 559)]"
Red10,"[(260, 578), (568, 578), (568, 689), (260, 689)]"
Yellow13,"[(54, 23), (218, 23), (218, 84), (54, 84)]"
Yellow12,"[(746, 99), (1058, 99), (1058, 257), (746, 257)]"
Brown12,"[(746, 276), (1059, 276), (1059, 434), (746, 434)]"
LightViolet11,"[(635, 453), (1053, 453), (1053, 563), (635, 563)]"
DarkGreen11,"[(639, 580), (1055, 580), (1055, 690), (639, 690)]"
DarkGreen9,"[(11, 408), (224, 408), (224, 513), (11, 513)]"
Orange14,"[(108, 128), (214, 101), (217, 208), (110, 181)]"
Orange15,"[(32, 298), (179, 226), (222, 246), (222, 354), (179, 374)]"
OliveGreen16,"[(65, 586), (173, 531), (224, 531), (224, 686), (173, 688), (65, 637)]"

groundtruth-rot0-2:
DarkBlue8,"[(39, 29), (459, 29), (459, 89), (39, 89)]"
Black8,"[(41, 114), (461, 114), (461, 171), (41, 171)]"
Yellow8,"[(45, 195), (466, 195), (466, 249), (45, 249)]"
LightGray8,"[(47, 278), (463, 278), (463, 333), (47, 333)]"
Red6,"[(314, 438), (519, 438), (519, 491), (314, 491)]"
LightGreen6,"[(51, 438), (263, 438), (263, 491), (51, 491)]"
Green6,"[(54, 519), (266, 519), (266, 574), (54, 574)]"
LightGray6,"[(312, 517), (521, 517), (521, 570), (312, 570)]"
LightBlue6,"[(312, 593), (520, 593), (520, 648), (312, 648)]"
Yellow6,"[(58, 598), (269, 598), (269, 653), (58, 653)]"
LightGray8,"[(527, 33), (839, 33), (839, 91), (527, 91)]"
LightYellow8,"[(523, 115), (836, 115), (836, 170), (523, 170)]"
DarkGreen8,"[(525, 195), (836, 195), (836, 249), (525, 249)]"
OliveGreen8,"[(524, 278), (835, 278), (835, 332), (524, 332)]"
LightPink8,"[(524, 356), (835, 356), (835, 410), (524, 410)]"
Black6,"[(594, 437), (801, 437), (801, 490), (594, 490)]"
Violet6,"[(594, 514), (802, 514), (802, 571), (594, 571)]"
LightYellow6,"[(599, 591), (806, 591), (806, 648), (599, 648)]"
Yellow3,"[(878, 28), (1042, 28), (1042, 86), (878, 86)]"
DarkGreen3,"[(877, 111), (1039, 111), (1039, 166), (877, 166)]"
DarkBlue3,"[(874, 191), (1039, 191), (1039, 245), (874, 245)]"
LightYellow3,"[(878, 274), (1039, 274), (1039, 332), (878, 332)]"
DarkGray3,"[(877, 354), (1043, 354), (1043, 408), (877, 408)]"
